name,type,address,phoneNumber
동해시평생학습관,culture_education,강원도 동해시 천곡동 992 동해시평생학습관,정보 없음
삼척평생교육정보관,culture_education,강원도 삼척시 당저동 57 삼척교육문화관,033-570-5530
속초시여성단체협의회,culture_education,강원도 속초시 교동 979 속초시농업기술센터,033-633-9564
속초시평생교육문화센터,culture_education,강원도 속초시 교동 979 속초시농업기술센터,033-631-5493
평생교육실천포럼,culture_education,강원도 원주시 단구동 1467 대흥아파트,정보 없음
한국노인평생교육개발원,culture_education,강원도 원주시 단구동 1682-1 현진에버빌5차,033-734-1040
대한군상담학회 평생교육개발원,culture_education,강원도 원주시 무실동 1662-2,정보 없음
KLEDI한국평생교육개발원 원주지부,culture_education,강원도 원주시 봉산동 1016-7,033-732-0320
인제교육지원청 평생교육원 운동장,culture_education,강원도 인제군 기린면 서리 694-1 강원도인제교육청평생교육원,정보 없음
인제교육지원청평생교육원,culture_education,강원도 인제군 기린면 서리 694-1 강원도인제교육청평생교육원,033-460-1050
춘천교육대학교 평생교육원,culture_education,강원도 춘천시 석사동 339 춘천교육대학교,정보 없음
춘천교육문화관,culture_education,강원도 춘천시 중앙로3가 26-1 춘천교육문화관,033-258-2500
춘천시평생학습관,culture_education,강원도 춘천시 퇴계동 1020-2 춘천시평생학습관,033-250-3539
강원인재육성평생교육진흥원,culture_education,강원도 춘천시 퇴계동 565-6,정보 없음
강원인재육성평생교육진흥원 사무국,culture_education,강원도 춘천시 퇴계동 565-6,02-856-3559
평생교육실천포럼,culture_education,경기도 고양시 덕양구 성사동 726 어울림마을8단지,정보 없음
고양시성인장애인평생교육지원센터,culture_education,경기도 고양시 덕양구 성사동 736-2 원당사회복지관,031-927-9945
한국평생교육시설협회,culture_education,경기도 고양시 덕양구 화정동 909 세은빌딩,정보 없음
경기글로벌스쿨,culture_education,경기도 고양시 일산동구 마두동 823-2,031-959-5600
아가페장애평생교육센터,culture_education,경기도 고양시 일산동구 식사동 1068,02-935-2999
한국교육신학 평생교육센터,culture_education,경기도 고양시 일산동구 중산동 26-2,정보 없음
풀잎문화센터 탄현지부,culture_education,경기도 고양시 일산서구 탄현동 1573-1 삼정프라자,031-917-5576
마리아손몬테소리원,culture_education,경기도 광주시 신현동 308-2,031-726-5262
평생교육컨텐츠협회,culture_education,경기도 구리시 교문동 279-3 중앙하이츠티움,정보 없음
구리시발달장애인평생교육센터,culture_education,경기도 구리시 교문동 754-7 향기의원,031-523-2425
한국평생교육연구소,culture_education,경기도 구리시 인창동 670-5 삼원골드프라자,정보 없음
온케어구리 하람평생교육센터,culture_education,경기도 구리시 인창동 670-7 화성골드프라자,031-569-6624
군포시평생교육센터,culture_education,경기도 군포시 금정동 844 군포시청,정보 없음
평생교육진흥연구회 경기사무소,culture_education,경기도 군포시 산본동 1142-2 대우디오플러스,정보 없음
남양주시 평생학습센터,culture_education,경기도 남양주시 다산동 3159-7 남양주시청제2청사,031-590-2582
동부광성평생교육문화원,culture_education,경기도 남양주시 와부읍 덕소리 177-2 동부광성교회,정보 없음
경복대학교 평생교육대학,culture_education,경기도 남양주시 진접읍 금곡리 383 경복대학교 남양주캠퍼스 학생회관,031-570-9700
한국 장애인평생교육연구소,culture_education,경기도 남양주시 진접읍 장현리 677-3 주공아파트,정보 없음
남양주탑플러스평생교육원,culture_education,경기도 남양주시 평내동 140 리치플러스,정보 없음
신일평생교육학원,culture_education,경기도 동두천시 생연동 644-14 혜린빌딩,정보 없음
행복가정평생교육센터 부설행복 가정아동청소년상담센터,culture_education,경기도 부천시 상동 432-3,정보 없음
열린브레인언론기관 부설평생교육시설,culture_education,경기도 부천시 소사동 19-5,032-328-0030
그레이스교육협회,culture_education,경기도 부천시 송내동 340-2,(847) 243-2511
부천미래평생교육원,culture_education,경기도 부천시 중동 1146-7 신풍프라자,정보 없음
아이슐레 중동영재원,culture_education,경기도 부천시 중동 1159 이원빌딩,정보 없음
지구촌평생교육원 분당강의실,culture_education,경기도 성남시 분당구 구미동 10,031-710-9313
민코딩원격평생교육시설,culture_education,경기도 성남시 분당구 구미동 145-1 오리뜰조합,정보 없음
한국평생교육평가원 경기성남지부,culture_education,경기도 성남시 분당구 서현동 338-1,031-756-1101
평생교육매거진e,culture_education,경기도 성남시 분당구 수내동 88-4 우진프라자,정보 없음
한국교육복지평생교육원,culture_education,경기도 성남시 분당구 수내동 88-4 우진프라자,070-4240-4489
경기평생교육학습관,culture_education,경기도 수원시 권선구 권선동 1234 경기평생교육학습관,031-259-1028
경기평생교육학습관 평생학습과,culture_education,경기도 수원시 권선구 권선동 1234 경기평생교육학습관,031-259-1028
경기평생교육학습관 독도상설전시관,culture_education,경기도 수원시 권선구 권선동 1234 경기평생교육학습관,031-259-1028
탑교육문화원 수원 장애인평생교육센터,culture_education,경기도 수원시 권선구 탑동 758-5,031-243-4380
홈플러스 평생교육스쿨 영통점,culture_education,경기도 수원시 영통구 영통동 994-2 영통홈플러스,031-201-8000
