name,type,address
말나눔터공원,culture_park,강원도 강릉시 교동 156-11
16호어린이공원,culture_park,강원도 강릉시 교동 1727
35호어린이공원,culture_park,강원도 강릉시 교동 1750 강릉 교동(1)주공아파트
38호어린이공원,culture_park,강원도 강릉시 교동 1761
37호어린이공원,culture_park,강원도 강릉시 교동 1774
33호어린이공원,culture_park,강원도 강릉시 교동 1820-2
36호어린이공원,culture_park,강원도 강릉시 교동 1855-4
34호어린이공원,culture_park,강원도 강릉시 교동 1899-2
교동2공원,culture_park,강원도 강릉시 교동 29-3
32호어린이공원,culture_park,강원도 강릉시 교동 997
교동6공원,culture_park,강원도 강릉시 교동 산 206
교동1공원,culture_park,강원도 강릉시 교동 산153-3
13호어린이공원,culture_park,강원도 강릉시 내곡동 620
월화공원,culture_park,강원도 강릉시 노암동 272-2
42호어린이공원,culture_park,강원도 강릉시 노암동 722-4
12호어린이공원,culture_park,강원도 강릉시 노암동 830-1
대전2공원,culture_park,강원도 강릉시 대전동 221-2
공원,culture_park,강원도 강릉시 대전동 924
대전공원,culture_park,강원도 강릉시 대전동 926
두산공원,culture_park,강원도 강릉시 두산동 산 57-1
사천진공원,culture_park,강원도 강릉시 사천면 사천진리 86-58
생활문화공원,culture_park,강원도 강릉시 성남동 51-18
소공원,culture_park,강원도 강릉시 송정동 산 104-13
영진공원,culture_park,강원도 강릉시 연곡면 영진리 304-1
옥계2공원,culture_park,강원도 강릉시 옥계면 주수리 533-53
교동3공원,culture_park,강원도 강릉시 용강동 62-4
44호어린이공원,culture_park,강원도 강릉시 유천동 780
유천공원,culture_park,강원도 강릉시 유천동 785
교동4공원,culture_park,강원도 강릉시 유천동 785
임당공원,culture_park,강원도 강릉시 임당동 106-1 임당시장
소나무숲길공원,culture_park,강원도 강릉시 임당동 106-1 임당시장
25호어린이공원,culture_park,강원도 강릉시 입암동 709-1 입암6주공아파트
성덕공원,culture_park,강원도 강릉시 입암동 산 101
장현공원,culture_park,강원도 강릉시 장현동 산 3
장현1공원,culture_park,강원도 강릉시 장현동 산 83
교항7공원,culture_park,강원도 강릉시 주문진읍 교항리 1160-3
교항4공원,culture_park,강원도 강릉시 주문진읍 교항리 12
주문진2소공원,culture_park,강원도 강릉시 주문진읍 교항리 1264
주문진4소공원,culture_park,강원도 강릉시 주문진읍 교항리 1266-10
주문진3소공원,culture_park,강원도 강릉시 주문진읍 교항리 1266-9
교항6공원,culture_park,강원도 강릉시 주문진읍 교항리 328-2
교항3공원,culture_park,강원도 강릉시 주문진읍 교항리 58
교항공원,culture_park,강원도 강릉시 주문진읍 교항리 산 41-3
등대공원1,culture_park,강원도 강릉시 주문진읍 주문리 187-2 주문진등대
등대공원2,culture_park,강원도 강릉시 주문진읍 주문리 267-7
주문2공원,culture_park,강원도 강릉시 주문진읍 주문리 316-2
주문1공원,culture_park,강원도 강릉시 주문진읍 주문리 326-2
주문4공원,culture_park,강원도 강릉시 주문진읍 주문리 931-1
약수공원,culture_park,강원도 강릉시 주문진읍 주문리 산 65-2
북부공원,culture_park,강원도 강릉시 주문진읍 주문리 산99-1
포남공원,culture_park,강원도 강릉시 초당동 209
초당공원,culture_park,강원도 강릉시 초당동 209
3호어린이공원,culture_park,강원도 강릉시 포남동 1071-6
4호어린이공원,culture_park,강원도 강릉시 포남동 1096-2
27호어린이공원,culture_park,강원도 강릉시 포남동 1111-7
10호어린이공원,culture_park,강원도 강릉시 포남동 1130-15
8호어린이공원,culture_park,강원도 강릉시 포남동 1159
7호어린이공원,culture_park,강원도 강릉시 포남동 1175-5
6호어린이공원,culture_park,강원도 강릉시 포남동 1182-9
5호어린이공원,culture_park,강원도 강릉시 포남동 1192-1 고려맨션
2호어린이공원,culture_park,강원도 강릉시 포남동 1223-1
17호어린이공원,culture_park,강원도 강릉시 포남동 1293-2
18호어린이공원,culture_park,강원도 강릉시 포남동 1293-3
19호어린이공원,culture_park,강원도 강릉시 포남동 1307-4
11호어린이공원,culture_park,강원도 강릉시 포남동 898-18
포남2공원,culture_park,강원도 강릉시 포남동 산 30
45호어린이공원,culture_park,강원도 강릉시 홍제동 1038
46호어린이공원,culture_park,강원도 강릉시 홍제동 1042
소공원,culture_park,강원도 강릉시 홍제동 1055 홍제한신휴플러스
소공원,culture_park,강원도 강릉시 홍제동 192-5
소공원,culture_park,강원도 강릉시 홍제동 202-4
15호어린이공원,culture_park,강원도 강릉시 홍제동 990-7
14호어린이공원,culture_park,강원도 강릉시 홍제동 997-4
40호어린이공원,culture_park,강원도 강릉시 회산동 4-1
남천하구 체육공원,culture_park,강원도 고성군 간성읍 동호리 12-1
토골샘터 쌈지공원,culture_park,강원도 고성군 간성읍 상리 500
달홀공원,culture_park,강원도 고성군 간성읍 신안리 137
고성경찰서 소공원,culture_park,강원도 고성군 간성읍 신안리 산 8-8
하리 소공원,culture_park,강원도 고성군 간성읍 하리 2-12
연당마을 녹색쌈지공원,culture_park,강원도 고성군 간성읍 하리 28
흘리 은행나무 소공원,culture_park,강원도 고성군 간성읍 흘리 산 45-1
자산교 소공원,culture_park,강원도 고성군 거진읍 거진리 448-1
새뜰마을 녹색쌈지숲,culture_park,강원도 고성군 거진읍 거진리 504-1
대대리 소공원,culture_park,강원도 고성군 거진읍 대대리 197-3
대대리 충혼탑 소공원,culture_park,강원도 고성군 거진읍 대대리 510-8
북천 수변공원,culture_park,강원도 고성군 거진읍 대대리 8
거진랜드마크 공원,culture_park,강원도 고성군 거진읍 송포리 138-3
화포3거리 공원,culture_park,강원도 고성군 거진읍 화포리 496
문암2리 소공원,culture_park,강원도 고성군 죽왕면 문암진리 134-22
오호리 붕어섬 소공원,culture_park,강원도 고성군 죽왕면 오호리 329
도원3리 소공원,culture_park,강원도 고성군 토성면 금화정리 351-2
국회의정연수원 입구 소공원,culture_park,강원도 고성군 토성면 도원리 806
봉포 해풍공원,culture_park,강원도 고성군 토성면 봉포리 383 봉포해풍공원
아야진 금강용궁 테마공원,culture_park,강원도 고성군 토성면 아야진리 230-8 아야진경로당
아야진항 소공원,culture_park,강원도 고성군 토성면 아야진리 25-13
용촌리 장승 소공원,culture_park,강원도 고성군 토성면 용촌리 산 45-2
초도리 통일공원,culture_park,강원도 고성군 현내면 초도리 산2-2
단봉3호공원,culture_park,강원도 동해시 구미동 591 구미경로당
묵호3호소공원,culture_park,강원도 동해시 묵호진동 2-302
어달2호공원,culture_park,강원도 동해시 묵호진동 85-175 동해참빛교회
발한공원,culture_park,강원도 동해시 발한동 241-9 동해시립발한도서관
천곡14호공원,culture_park,강원도 동해시 천곡동 996
교동공원,culture_park,강원도 삼척시 교동 750-1
교동1공원,culture_park,강원도 삼척시 교동 756
교동3공원,culture_park,강원도 삼척시 교동 765-2
교동소공원,culture_park,강원도 삼척시 교동 산 142-3
교가3공원,culture_park,강원도 삼척시 근덕면 교가리 1266-7
남양공원,culture_park,강원도 삼척시 남양동 109
봉황공원,culture_park,강원도 삼척시 남양동 339-2
당저1공원,culture_park,강원도 삼척시 당저동 20
달전공원,culture_park,강원도 삼척시 도계읍 도계리 225-2 느티나무냉면
