name,type,address
중앙시장,culture_shopping,강원도 강릉시 성남동 50 중앙시장
강릉성남시장,culture_shopping,강원도 강릉시 성남동 53-8
강릉동부시장,culture_shopping,강원도 강릉시 옥천동 48-1
강릉서부시장,culture_shopping,강원도 강릉시 용강동 29 서부시장
주문진건어물시장,culture_shopping,강원도 강릉시 주문진읍 주문리 312-708
주문진수산시장,culture_shopping,강원도 강릉시 주문진읍 주문리 312-91
주문진종합시장,culture_shopping,강원도 강릉시 주문진읍 주문리 321-52
간성전통시장(천년고성시장),culture_shopping,강원도 고성군 간성읍 신안리 311-9 제일정육점
거진시장,culture_shopping,강원도 고성군 거진읍 거진리 272 거진전통시장
동해남부재래시장,culture_shopping,"강원도 동해시 동회동 442 대동아파트, 동회동 현대아파트"
묵호시장,culture_shopping,강원도 동해시 묵호진동 15-61 장안할인마트
동쪽바다중앙시장,culture_shopping,강원도 동해시 발한동 7-1 뉴월드상가
북평민속시장,culture_shopping,강원도 동해시 북평동 15-5 동서약국
삼척중앙시장,culture_shopping,강원도 삼척시 남양동 55-4 중앙시장
도계중앙시장,culture_shopping,강원도 삼척시 도계읍 도계리 390-1 도계중앙시장
도계전두시장,culture_shopping,강원도 삼척시 도계읍 전두리 81-20 고려가방
삼척번개시장,culture_shopping,강원도 삼척시 사직동 50-11
속초종합중앙시장,culture_shopping,강원도 속초시 중앙동 471-4
속초관광수산시장(구 속초중앙전통시장),culture_shopping,강원도 속초시 중앙동 493-3
양구중앙시장,culture_shopping,강원도 양구군 양구읍 상리 235 중앙시장
양양전통시장,culture_shopping,강원도 양양군 양양읍 남문리 57 양양시장조합상가
서부아침시장,culture_shopping,강원도 영월군 영월읍 영흥리 947-57 서부시장
영월종합상가시장,culture_shopping,강원도 영월군 영월읍 하송리 11-1
서부공설시장,culture_shopping,강원도 영월군 영월읍 하송리 5-10
원주남부시장,culture_shopping,강원도 원주시 명륜동 26 남부시장
문막시장,culture_shopping,강원도 원주시 문막읍 문막리 240-1 문막시장
중앙시민전통시장,culture_shopping,강원도 원주시 중앙동 48
자유시장,culture_shopping,강원도 원주시 중앙동 57 자유시장
미로예술원주중앙시장(원주중앙시장),culture_shopping,강원도 원주시 중앙동 60-56 중앙시장
북원상가시장,culture_shopping,강원도 원주시 태장동 1379-23 북원상가
민속풍물시장,culture_shopping,강원도 원주시 평원동 134-1
원통시장,culture_shopping,강원도 인제군 북면 원통리 647-40
인제시장,culture_shopping,강원도 인제군 인제읍 상동리 264-20
고한구공탄시장(고한시장),culture_shopping,강원도 정선군 고한읍 고한리 62-14
정선사북시장,culture_shopping,강원도 정선군 사북읍 사북리 366-59 사북시장조합사무실
임계사통팔달시장,culture_shopping,강원도 정선군 임계면 송계리 774-5 임계시장 상인회관
정선아리랑시장,culture_shopping,강원도 정선군 정선읍 봉양리 349-20
신철원시장,culture_shopping,강원도 철원군 갈말읍 신철원리 697
동송전통시장,culture_shopping,강원도 철원군 동송읍 이평리 678-49 서울떡집
동송시장,culture_shopping,강원도 철원군 동송읍 이평리 680-1 동송시장
와수시장,culture_shopping,강원도 철원군 서면 와수리 1171-92 와수시장 번영회 사무실
춘천번개시장,culture_shopping,강원도 춘천시 소양로1가 93-10
춘천서부시장,culture_shopping,강원도 춘천시 소양로2가 172-1 신동아아파트
춘천풍물시장,culture_shopping,강원도 춘천시 온의동 148-1 풍물시장
춘천동부시장,culture_shopping,강원도 춘천시 운교동 183 동부시장현대아파트
제일종합시장,culture_shopping,강원도 춘천시 죽림동 32 제일백화점
춘천중앙시장,culture_shopping,강원도 춘천시 중앙로2가 42-68
춘천남부시장,culture_shopping,강원도 춘천시 효자동 684-11 남부시장
춘천후평시장,culture_shopping,강원도 춘천시 후평동 691-22
장성중앙시장,culture_shopping,강원도 태백시 장성동 159-2 장성시장
황지자유시장,culture_shopping,강원도 태백시 통동 75-32
평창대화시장,culture_shopping,강원도 평창군 대화면 대화리 1001-14
봉평전통시장(봉평시장),culture_shopping,강원도 평창군 봉평면 창동리 397-34
진부전통시장,culture_shopping,강원도 평창군 진부면 하진부리 206-95 진부전통시장 상인회
평창올림픽시장(평창전통시장),culture_shopping,강원도 평창군 평창읍 하리 139-1
홍천시장,culture_shopping,강원도 홍천군 홍천읍 신장대리 11-32
홍천중앙시장,culture_shopping,강원도 홍천군 홍천읍 신장대리 5-3
화천재래시장,culture_shopping,강원도 화천군 화천읍 하리 50-7 태흥운수
횡성시장,culture_shopping,강원도 횡성군 횡성읍 읍상리 277-3
가평잣고을전통시장,culture_shopping,경기도 가평군 가평읍 읍내리 473-15 가평금방
청평여울시장,culture_shopping,경기도 가평군 청평면 청평리 424-7
원당시장,culture_shopping,경기도 고양시 덕양구 성사동 697-14 영프라자
능곡시장,culture_shopping,경기도 고양시 덕양구 토당동 347
덕이동패션1번지,culture_shopping,경기도 고양시 일산서구 덕이동 384-1
일산시장,culture_shopping,경기도 고양시 일산서구 일산동 617-20
제일쇼핑시장,culture_shopping,경기도 과천시 별양동 1-13 제일쇼핑
과천새서울프라자시장,culture_shopping,경기도 과천시 별양동 1-18 새서울프라자
광명전통시장,culture_shopping,경기도 광명시 광명동 158-44
광명새마을시장,culture_shopping,경기도 광명시 광명동 342-12
경안시장,culture_shopping,경기도 광주시 경안동 254-19
구리전통시장,culture_shopping,경기도 구리시 수택동 417 구리전통시장 공영주차장
군포역전시장,culture_shopping,경기도 군포시 당동 749-41
산본시장,culture_shopping,경기도 군포시 산본동 251-4
양곡시장,culture_shopping,경기도 김포시 양촌읍 양곡리 415-6 양곡농약사
양곡오라니장터시장,culture_shopping,경기도 김포시 양촌읍 양곡리 419-4
통진시장,culture_shopping,경기도 김포시 통진읍 서암리 721-8
남양주장현 전통시장,culture_shopping,경기도 남양주시 진접읍 장현리 634-4 장현프라자
중앙시장,culture_shopping,경기도 동두천시 생연동 607-27
동두천큰시장,culture_shopping,경기도 동두천시 생연동 698-1
세아프라자상가,culture_shopping,경기도 동두천시 생연동 809 세아프라자
동두천제일시장,culture_shopping,경기도 동두천시 생연동 823-1
고리울동굴시장,culture_shopping,경기도 부천시 고강동 407
역곡남부시장,culture_shopping,경기도 부천시 괴안동 107-8 유영연립
조공시장,culture_shopping,경기도 부천시 괴안동 40 화성연립
강남시장,culture_shopping,경기도 부천시 도당동 276-4
신흥시장,culture_shopping,경기도 부천시 삼정동 315 삼정빌딩
부천상동시장,culture_shopping,경기도 부천시 상동 236-5 상동시장 고객지원센터
부천한신시장,culture_shopping,경기도 부천시 소사본동 196-9
소사종합시장,culture_shopping,경기도 부천시 소사본동 78-34
부천자유시장,culture_shopping,경기도 부천시 심곡본동 543
역곡상상시장(역곡북부시장),culture_shopping,경기도 부천시 역곡동 84-7 역곡 북부시장 고객편의센터
오정시장,culture_shopping,경기도 부천시 오정동 582-30
원미부흥시장,culture_shopping,경기도 부천시 원미동 118-18
원미종합시장,culture_shopping,경기도 부천시 원미동 97-12 원미재래시장고객편의센타
원종중앙시장,culture_shopping,경기도 부천시 원종동 209-5
부천제일시장,culture_shopping,경기도 부천시 원종동 298
원종종합시장,culture_shopping,경기도 부천시 원종동 372-1
중동사랑시장(부천중동시장),culture_shopping,경기도 부천시 중동 725-11
미금현대벤처빌시장,culture_shopping,경기도 성남시 분당구 구미동 26 구미1동 행정복지센터
코코프라자시장,culture_shopping,경기도 성남시 분당구 서현동 248-5 코코프라자
미래그린시장,culture_shopping,경기도 성남시 분당구 서현동 307 효자촌미래타운아파트
미래타운제2종합시장,culture_shopping,경기도 성남시 분당구 서현동 311 효자촌주상복합
범한프라자시장,culture_shopping,경기도 성남시 분당구 서현동 312-3 범한프라자
현대시장(분당),culture_shopping,경기도 성남시 분당구 서현동 94 현대근린상가
분당우성시장,culture_shopping,경기도 성남시 분당구 서현동 94-3 우성종합상가
금호행복시장(금호시장),culture_shopping,경기도 성남시 분당구 수내동 32 양지마을금호아파트
청구문화시장,culture_shopping,경기도 성남시 분당구 수내동 32 양지마을금호아파트
돌고래시장,culture_shopping,경기도 성남시 분당구 수내동 53 파크타운서안아파트
코끼리시장,culture_shopping,경기도 성남시 분당구 수내동 56 파크타운대림아파트
동신종합시장,culture_shopping,경기도 성남시 분당구 수내동 63-2 동신코아빌딩
현대프라자시장,culture_shopping,경기도 성남시 분당구 수내동 79-2 현대제일상가
분당종합시장,culture_shopping,경기도 성남시 분당구 수내동 83-1 동한프라자
야탑에이스코아시장,culture_shopping,경기도 성남시 분당구 야탑동 502 야탑시장
현대시장,culture_shopping,경기도 성남시 수정구 태평동 3683 현대시장
단대전통시장,culture_shopping,경기도 성남시 중원구 금광동 10 단대쇼핑센타
금광시장,culture_shopping,경기도 성남시 중원구 금광동 4622
상대원시장,culture_shopping,경기도 성남시 중원구 상대원동 2985-1 상대원프라자
모란가축시장,culture_shopping,경기도 성남시 중원구 성남동 4182 한성빌딩
모란종합시장,culture_shopping,경기도 성남시 중원구 성남동 4182 한성빌딩
모란전통기름시장,culture_shopping,경기도 성남시 중원구 성남동 4222
은행시장,culture_shopping,경기도 성남시 중원구 은행동 1553 은행시장
성남남한산성시장(은행골목시장),culture_shopping,경기도 성남시 중원구 은행동 1565
하대원공설시장,culture_shopping,경기도 성남시 중원구 하대원동 266-1 성남수산물도매시장
권선종합시장,culture_shopping,경기도 수원시 권선구 권선동 1051
구매탄시장,culture_shopping,경기도 수원시 영통구 매탄동 172-72
연무시장,culture_shopping,경기도 수원시 장안구 연무동 249 연무새마을금고
장안문거북시장,culture_shopping,경기도 수원시 장안구 영화동 250-1 영화동 행정복지센터 및 공영주차장
정자시장,culture_shopping,경기도 수원시 장안구 정자동 73-10 정자종합시장
조원시장,culture_shopping,경기도 수원시 장안구 조원동 743-7
북수원시장,culture_shopping,경기도 수원시 장안구 파장동 572-35 솔나무떡집
남문로데오시장,culture_shopping,경기도 수원시 팔달구 교동 3-6
구천동공구상가,culture_shopping,경기도 수원시 팔달구 구천동 86-1
역전시장,culture_shopping,경기도 수원시 팔달구 매산로1가 57-3 역전시장
매산시장,culture_shopping,경기도 수원시 팔달구 매산로2가 90 대한대우아파트
시민상가시장,culture_shopping,경기도 수원시 팔달구 영동 10-18 시민백화점
남문패션1번가시장,culture_shopping,경기도 수원시 팔달구 영동 43-5
팔달문시장,culture_shopping,경기도 수원시 팔달구 영동 6-14
영동시장,culture_shopping,경기도 수원시 팔달구 영동 8 영동시장
못골종합시장,culture_shopping,경기도 수원시 팔달구 지동 387-1
미나리광시장,culture_shopping,경기도 수원시 팔달구 지동 400-12
지동시장,culture_shopping,경기도 수원시 팔달구 지동 402-2 지동시장
화서시장,culture_shopping,경기도 수원시 팔달구 화서동 97-1 화서상가
도일시장,culture_shopping,경기도 시흥시 거모동 1669-22
시흥삼미시장,culture_shopping,경기도 시흥시 신천동 738-4 소망교회
정왕시장,culture_shopping,경기도 시흥시 정왕동 1203 정왕시장
오이도전통수산시장,culture_shopping,경기도 시흥시 정왕동 2003-8
안산시시민시장,culture_shopping,경기도 안산시 단원구 초지동 604-4 안산시민시장
신안코아,culture_shopping,경기도 안산시 상록구 본오동 871 신안1차아파트
신안프라자전통시장,culture_shopping,경기도 안산시 상록구 본오동 871 신안프라자
월드프라자,culture_shopping,경기도 안산시 상록구 본오동 872 월드아파트
안산패션타운전통시장,culture_shopping,경기도 안산시 상록구 사동 1530 안산의류상설할인매장
스타프라자전통시장,culture_shopping,경기도 안산시 상록구 성포동 583 스타프라자
안산 다농마트 전통시장,culture_shopping,경기도 안산시 상록구 월피동 445 다농마트
안성맞춤시장,culture_shopping,경기도 안성시 서인동 13-1
중앙시장,culture_shopping,경기도 안성시 서인동 81
일죽시장,culture_shopping,경기도 안성시 일죽면 송천리 15-18
죽산시장,culture_shopping,경기도 안성시 죽산면 죽산리 439-3
안양관양시장,culture_shopping,경기도 안양시 동안구 관양동 1407-8
안양호계종합시장,culture_shopping,경기도 안양시 동안구 호계동 997 청도아파트
박달시장,culture_shopping,경기도 안양시 만안구 박달동 21-8
석수시장,culture_shopping,경기도 안양시 만안구 석수동 287
중부농수산물시장,culture_shopping,경기도 안양시 만안구 안양동 622-337
안양남부시장,culture_shopping,경기도 안양시 만안구 안양동 622-378
중앙시장,culture_shopping,경기도 안양시 만안구 안양동 676-44 중앙시장
안양중앙인정시장,culture_shopping,경기도 안양시 만안구 안양동 711-280
양동쌍학시장,culture_shopping,경기도 양평군 양동면 쌍학리 227-3
양수리전통시장(양평양수리시장),culture_shopping,경기도 양평군 양서면 양수리 556-3 한강체육관
양평물맑은시장,culture_shopping,경기도 양평군 양평읍 양근리 166-8 양평시장번영회
용문천년시장,culture_shopping,경기도 양평군 용문면 다문리 307-5
여주한글시장(여주중앙로상점가),culture_shopping,경기도 여주시 하동 268-4
전곡재래시장,culture_shopping,경기도 연천군 전곡읍 전곡리 479-31 경기도상인연합회연천군전곡지부
오색시장,culture_shopping,경기도 오산시 오산동 853-27 수월청과공판장
죽전로데오상점가전통시장,culture_shopping,경기도 용인시 수지구 죽전동 1003-53 죽전유표빌딩
용인중앙시장,culture_shopping,경기도 용인시 처인구 김량장동 137-1
부곡도깨비시장,culture_shopping,경기도 의왕시 삼동 192-554
의정부시장,culture_shopping,경기도 의정부시 의정부동 148-5
의정부제일시장,culture_shopping,경기도 의정부시 의정부동 160 의정부제일시장
의정부청과야채시장,culture_shopping,경기도 의정부시 의정부동 30-8
관고전통시장,culture_shopping,경기도 이천시 관고동 10-13
사기막골도자기시장,culture_shopping,경기도 이천시 사음동 536
장호원전통시장,culture_shopping,경기도 이천시 장호원읍 장호원리 350
광탄시장,culture_shopping,경기도 파주시 광탄면 신산리 222-7
금촌명동로시장,culture_shopping,경기도 파주시 금촌동 323-1 현대서점
금촌전통시장,culture_shopping,경기도 파주시 금촌동 64-19
금촌문화로시장,culture_shopping,경기도 파주시 금촌동 66-4
문산자유시장,culture_shopping,경기도 파주시 문산읍 문산리 10-23
적성전통시장,culture_shopping,경기도 파주시 적성면 마지리 46-8 적성정보통신
봉일천시장,culture_shopping,경기도 파주시 조리읍 봉일천리 168-4 현대25시편의점
서정리시장,culture_shopping,경기도 평택시 서정동 328-8
통복시장,culture_shopping,경기도 평택시 신장동 318-24
중앙시장,culture_shopping,경기도 평택시 신장동 318-24
안중시장,culture_shopping,경기도 평택시 안중읍 안중리 267-1
송탄시장,culture_shopping,경기도 평택시 지산동 745-14
운천전통시장,culture_shopping,경기도 포천시 영북면 운천리 513-15 운천상설시장
일동전통시장,culture_shopping,경기도 포천시 일동면 기산리 94-10
덕풍전통시장,culture_shopping,경기도 하남시 덕풍동 328-12
신장전통시장,culture_shopping,경기도 하남시 신장동 429-1 신장전통재래시장 주차장
남양시장,culture_shopping,경기도 화성시 남양읍 남양리 1165-25
사강시장,culture_shopping,경기도 화성시 송산면 사강리 662-2 사강새마을금고
조암시장,culture_shopping,경기도 화성시 우정읍 조암리 311-9
발안시장,culture_shopping,경기도 화성시 향남읍 평리 81-51
거제읍내시장,culture_shopping,경상남도 거제시 거제면 서상리 325-2 거제종합시장
한라프라자,culture_shopping,경상남도 거제시 고현동 961-153 한라프라자
회원프라자,culture_shopping,경상남도 거제시 고현동 961-59 회원프라자
