name,type,address,phoneNumber
JS통합재가복지센터,visit_bath,강원도 강릉시 가작로 275 1층 (포남동),033-652-2555
하주재가노인복지센터,visit_bath,"강원도 강릉시 강릉대로 180, 1층 1호 (교동)",033-641-8829
들국화재가복지센터,visit_bath,"강원도 강릉시 강릉대로 414, 2층 (포남동)",033-646-9006
정한방문요양센터,visit_bath,강원도 강릉시 강릉대로 501-5 2층 (포남동),033-641-9047
정순화재가복지센터,visit_bath,강원도 강릉시 경강로 2209 (포남동),033-642-2003
민들레재가복지센터,visit_bath,강원도 강릉시 경강로2224번길 11 1층101호 (포남동),033-643-5024
강릉자비노인복지센터,visit_bath,강원도 강릉시 경강로2267번길 19 (포남동),033-655-8785
사랑천사재가장기요양기관,visit_bath,강원도 강릉시 남강초교길 2길 25 (포남동),033-648-3119
행복나눔협동조합,visit_bath,강원도 강릉시 남구길17번길 25 (포남동),033-648-8988
착한사랑재가복지센터,visit_bath,강원도 강릉시 남산초교길 112 (내곡동),033-641-8882
다온재가복지센터,visit_bath,강원도 강릉시 남산초교길11번길 9 (내곡동),033-642-0441
갈바리노인복지센터1,visit_bath,강원도 강릉시 사임당로107번길 86 (홍제동),033-644-3477
해람재가방문요양센터,visit_bath,강원도 강릉시 산양길 3 (포남동),033-653-3412
예담노인복지센터,visit_bath,강원도 강릉시 성덕로216번길 14 (두산동),033-647-6067
강릉재가노인종합지원센터,visit_bath,강원도 강릉시 성덕포남로162번길 6 (포남동),033-642-8898
허브재가복지센터,visit_bath,강원도 강릉시 수문길19번옆길 11 (옥천동),033-645-9294
강릉누나재가복지센터,visit_bath,강원도 강릉시 옥천로 17-1 (옥천동),033-647-7415
금강재가복지센터,visit_bath,"강원도 강릉시 옥천로48, 101호 (옥천동)",033-642-7869
강남노인복지센터,visit_bath,"강원도 강릉시 용지각길 20 3층층 (포남동, 성지빌딩)",033-643-5689
사랑뜰재가방문요양센터,visit_bath,강원도 강릉시 율곡로 2953 (교동),033-646-3476
들국화재가복지센터2,visit_bath,강원도 강릉시 임영로58 (노암동),033-647-1560
교항리 노인복지센터,visit_bath,강원도 강릉시 주문진읍 금용길 132 (주문진읍),033-662-3033
주문진등대재가복지센터,visit_bath,"강원도 강릉시 주문진읍 등대길2, 1층",033-662-3135
유경노인복지센터,visit_bath,강원도 강릉시 주문진읍 신리천로 222-16 (주문진읍),033-662-0881
주문진재가장기요양기관,visit_bath,강원도 강릉시 주문진읍 주문로 97 (주문진읍),033-662-0998
솔향복지센터,visit_bath,강원도 강릉시 팔송길 15 (송정동),033-651-8998
강릉재가복지센터,visit_bath,"강원도 강릉시 하평3길38, 1층 (포남동)",033-652-4692
영성재가복지센터,visit_bath,강원도 강릉시 화부산로 139 (교동),033-653-0898
홍천재가복지센터,visit_bath,"강원도 강원고 홍천군 홍천읍 닭바위2길 41, 2층",033-433-5559
성광노인재가복지센터,visit_bath,강원도 고성군 거진읍 거탄진로 165-2,033-682-5175
고성노인복지센터,visit_bath,강원도 고성군 거진읍 수외길 9-1 (거진읍),033-681-8830
가인재가노인복지센터,visit_bath,"강원도 고성군 토성면 봉포4길 32, 201호",033-635-7211
A+기쁨사랑복지센터,visit_bath,"강원도 동해시 감추1길7,103호",033-531-1004
동해시노인종합복지관주간복지센터,visit_bath,강원도 동해시 감추7길 50 (천곡동),033-530-9001
동해시노인종합복지관복지센터,visit_bath,강원도 동해시 감추7길 50 (천곡동),033-530-9008
천사종합복지센터,visit_bath,강원도 동해시 동굴1길86,033-535-5870
성모통합재가센터,visit_bath,강원도 동해시 발한로 142. 2층,033-534-1600
아리아케어방문요양동해센터,visit_bath,"강원도 동해시 발한로 217, 1층 (발한동)",033-533-4455
사랑+재가장기요양센터,visit_bath,"강원도 동해시 발한로 86, 2층 2호 (발한동)",033-533-5338
동해이레복지센터,visit_bath,강원도 동해시 발한천길41-1 (발한동),033-534-7744
동해효재가센터,visit_bath,강원도 동해시 분토길 36-2,033-521-7118
해오름종합복지센터,visit_bath,"강원도 동해시 송정중앙로 66, 1층",033-521-5556
참사랑노인복지원,visit_bath,강원도 동해시 중앙로 132 (천곡동),033-533-9321
정다운케어복지센터,visit_bath,"강원도 동해시 중앙로 188, 3층 (천곡동)",033-535-8290
A+해오름종합복지센터,visit_bath,강원도 동해시 한섬로 84 2층,033-534-2579
다온재가요양센터,visit_bath,강원도 동해시 효가리본길 8 (효가동),033-522-6888
가인재가복지센터,visit_bath,"강원도 삼척시 대학로 11, 3층",033-575-6333
다희재가복지센터,visit_bath,"강원도 삼척시 사대1길 16, 2층",033-575-9870
우리돌봄재가복지센터,visit_bath,"강원도 삼척시 오십천로 448, 2층",033-572-1659
속초시효재가노인복지센터,visit_bath,강원도 속초시 수복로 42 (교동),033-637-3393
가은재가노인복지센터,visit_bath,강원도 속초시 중앙로 194-1 2층 (동명동),033-635-4543
아름다운동행재가센터,visit_bath,강원도 양구군 국토정중앙면 정중앙로 294,033-481-2409
사랑의 집,visit_bath,강원도 양구군 양구읍 성곡로 182,033-482-0230
우리동네재가노인복지센터,visit_bath,"강원도 양양군 양양읍 남문4길 9, 1층",033-673-8818
행복노인복지센터,visit_bath,강원도 양양군 양양읍 북문길35-11,033-673-2347
인향재가노인복지센터,visit_bath,"강원도 양양군 양양읍 양양로 85, 2층",033-672-2077
영월돌봄사회서비스센터,visit_bath,강원도 영월군 영월읍 단종로 113,033-373-2581
영월가정봉사원파견센터,visit_bath,강원도 영월군 영월읍덕포하리4길 19-5,033-374-6412
늘푸른재가복지센터,visit_bath,"강원도 원주시 개운로9, 101호 (개운동)",033-763-3094
원주종합재가센터,visit_bath,"강원도 원주시 건강로 23, 203호 (반곡동)",033-735-1122
사랑나눔센터,visit_bath,"강원도 원주시 나비허리길169, 3층 (관설동)",033-761-3585
사랑복지재가센터,visit_bath,"강원도 원주시 남산로 180, 115~116호 (학성동, 대성빌딩)",033-742-0993
굿모닝재가방문요양센터/온맘터치 원주중앙점,visit_bath,"강원도 원주시 늘품로 187-8, 1층 (반곡동)",033-748-8246
다정재가방문요양센터,visit_bath,"강원도 원주시 늘품로7, 201 (단구동)",033-764-3090
성은재가복지센터,visit_bath,"강원도 원주시 단구로 410, 106호 (단구동, 세경5차 상가)",033-733-0149
경성재가복지센터,visit_bath,"강원도 원주시 라옹정길 51-6, 2~3층 (관설동)",033-765-0255
(A)비지팅엔젤스원주방문요양지점,visit_bath,"강원도 원주시 무실로 68, 1층 (원동)",033-743-0052
문막한사랑재가복지센터,visit_bath,"강원도 원주시 문막읍 건등로 41, 102동 303호 (신한아파트)",033-734-7269
"쉼, 재가복지센터",visit_bath,"강원도 원주시 백간길 49, 206호 (단계동)",033-733-8080
휴방문요양재가센터,visit_bath,강원도 원주시 봉산로 117 (봉산동),033-746-4700
인영돌봄재가복지센터,visit_bath,강원도 원주시 새동네4길 34 (태장동),033-764-1887
더사랑재가방문요양센터,visit_bath,강원도 원주시 시청로 494-6 2층 201호 (단구동),033-762-1364
아리아케어 재가방문요양원주 남부센터,visit_bath,"강원도 원주시 시청로 89-16, 104호 (무실동, 무실코아루허브)",033-766-1055
은빛복지센터,visit_bath,"강원도 원주시 양지로 68 (반곡동, 피카소빌딩 4층)",033-744-6080
