name,type,address,phoneNumber
JS통합재가복지센터,visit_care,강원도 강릉시 가작로 275 1층 (포남동),033-652-2555
착한사랑재가복지센터,visit_care,강원도 강릉시 남산초교길 112 (내곡동),033-641-8882
그린재가방문간호센터,visit_care,강원도 강릉시 성덕포남로213번길 6 (포남동),033-651-6112
나눔재가장기요양기관,visit_care,"강원도 강릉시 포남동 하평5길 9, 1층",033-641-5001
성모통합재가센터,visit_care,강원도 동해시 발한로 142. 2층,033-534-1600
동해이레복지센터,visit_care,강원도 동해시 발한천길41-1 (발한동),033-534-7744
해오름종합복지센터,visit_care,"강원도 동해시 송정중앙로 66, 1층",033-521-5556
A+해오름종합복지센터,visit_care,강원도 동해시 한섬로 84 2층,033-534-2579
가가호호방문요양센터 삼척점,visit_care,"강원도 삼척시 중앙시장2길 7, 1층 (남양동)",033-572-1002
'+사랑방문간호재가센터,visit_care,"강원도 원주시 관설안길 27, 204호",033-765-1925
사랑복지재가센터,visit_care,"강원도 원주시 남산로 180, 115~116호 (학성동, 대성빌딩)",033-742-0993
가가호호케어,visit_care,강원도 인제군 북면 원통로 372 1층,033-461-6700
"""춘천희망""복지센터",visit_care,"강원도 춘천시 운천길 28-29 (운교동, 1-2층)",033-252-6091
A+중앙통합복지센터,visit_care,"강원도 춘천시 중앙로 110 5층 (낙원동, 다나빌딩)",033-255-4370
다같이효종합복지센터,visit_care,강원도 태백시 보드미길 40 2층층 (장성동),033-554-0708
도원주간보호센터,visit_care,경기도 고양시 덕양구 서정마을1로 20-10,031-971-8572
'(A)비지팅엔젤스고양삼송방문요양지점,visit_care,"경기도 고양시 덕양구 신도길 19, 3층 1호 (삼송동)",02-371-1021
가가호호방문요양센터,visit_care,"경기도 고양시 덕양구 중앙로 557-89, 405호",031-971-0221
다은재가복지센터,visit_care,"경기도 고양시 덕양구 충장로117번길 15-9, 1층 일부호 (행신동)",031-972-7794
단비방문간호센타,visit_care,경기도 고양시 덕양구 화정로53-1. 419호,070-7585-0765
바른손방문간호,visit_care,경기도 고양시 일산동구 강송로74번길 29-12,031-817-0030
간호연구소방문간호센터,visit_care,"경기도 고양시 일산동구 무궁화로 285, 2층 (풍동)",031-907-0616
A+(간호박사)동산실버케어,visit_care,"경기도 고양시 일산서구 고봉로 291, 4층 401호 (일산동)",031-919-2949
(A)비지팅엔젤스과천방문요양지점,visit_care,경기도 과천시 별양상가1로37 신라상가 304호,02-504-5506
서연 방문재활간호재가요양센터,visit_care,경기도 광주시 태전중앙 1길 5 태전퍼스트센트힐 1동 410호,070-7543-2946
희망재가노인복지센터,visit_care,경기도 광주시독고개길14-24 상가동204호 (초월읍),031-768-5866
효요양간호센터,visit_care,경기도 구리시 이문안로 129번길 12-13,031-562-0482
하나케어 방문간호전국센터,visit_care,"경기도 권선구 일월천로4번길 55, 201호 (구운동)",070-4115-8886
채은 재가간호요양센터,visit_care,경기도 기흥구 강남서로99 화니하우스 107호,031-282-9581
"""(A+)""튼튼한 방문간호통합재가센터",visit_care,"경기도 김포시 봉화로 163, 2층",070-8285-8218
착한재가노인복지센타,visit_care,"경기도 김포시 양촌읍 구래로42번길 176, 2층",031-981-3028
김포굿케어방문간호센터,visit_care,"경기도 김포시 통진읍 김포대로 2082, 1층",031-987-0086
스마일시니어다산굿모닝노인돌봄센터,visit_care,"경기도 남양주시 다산순환로 166, 601호 (다산동)",031-554-8999
은빛사랑노인복지센터,visit_care,"경기도 남양주시 두물로11번길 12-20, 6층 (별내동, 진영타운)",031-528-9643
동두천유디재가방문간호센터,visit_care,"경기도 동두천시 동두천로 111 (지행동, 송내메가타운 8층)",031-868-0600
엔젤방문간호요양센터,visit_care,"경기도 동두천시 어수로83번길 36 (생연동, 파크타운주상복합아파트)",031-858-6066
통합재가요양기관올댓,visit_care,"경기도 부천시 부일로 191번길 30, 502호 (상동)",032-322-0147
포그니방문간호센터,visit_care,"경기도 부천시 부흥로 208, 3층 (중동)",032-611-2233
웰더스재활주야간보호센터,visit_care,"경기도 성남시 분당구 장안로 39, 5층 (분당동, 한일빌딩)",031-1566-6597
엄마케어노인돌봄센터,visit_care,"경기도 성남시 분당구 황새울로258번길 10-7, 401-1호 (수내동)",031-749-1972
시흥희망의료복지사회적협동조합 희망방문간호센터,visit_care,"경기도 시흥시 은행로167번길 6, 401호 (대야동)",031-315-2580
사랑이재가복지센터,visit_care,"경기도 안산시 단원구 광덕4로 220, 308,309호 (고잔동)",031-401-2035
다나음방문간호재활센터,visit_care,"경기도 안산시 상록구 광덕산3로 48, 507호 (월피동)",070-7788-4133
온담방문간호센터,visit_care,"경기도 안산시 상록구 석호로 84, 202호 (사동)",031-408-1006
안성의료복지사회적협동조합 서안성지점,visit_care,"경기도 안성시 공도읍 승두길 40, 2층",031-647-0709
우리동네방문간호센터,visit_care,경기도 안성시 보개면 성공길 34,050-4495-3129
건강맞춤주간보호센터,visit_care,"경기도 안성시 중앙로 371번길 13, 7~8층",031-674-7708
정담재가복지센터,visit_care,"경기도 안양시 동안구 경수대로 807, 2층 (호계동)",031-451-9620
느티나무주야간보호센터,visit_care,"경기도 안양시 동안구 관악대로 312, 2층 (관양동)",031-383-0154
가고파재가노인복지시설,visit_care,"경기도 안양시 동안구 관악대로 488, 312호 (관양동)",031-1577-6968
느티나무주간보호센터 만안점,visit_care,"경기도 안양시 만안구 삼덕로6번길 3, 2·3층",031-449-4486
사랑샘사회적협동조합,visit_care,"경기도 안양시 만안구 안양로 186, 202동 705호 (안양동)",031-1577-1229
만수무강노인복지센터,visit_care,"경기도 안양시 만안구 안양로 340번길 3, 3·4층 (안양동)",031-465-4312
온누리종합복지센터,visit_care,"경기도 안양시 만안구 안양로 348, 3층 (안양동)",031-465-4700
