name,type,address,phoneNumber
JS통합재가복지센터,visit_recuperation,강원도 강릉시 가작로 275 1층 (포남동),033-652-2555
하주재가노인복지센터,visit_recuperation,"강원도 강릉시 강릉대로 180, 1층 1호 (교동)",033-641-8829
들국화재가복지센터,visit_recuperation,"강원도 강릉시 강릉대로 414, 2층 (포남동)",033-646-9006
정한방문요양센터,visit_recuperation,강원도 강릉시 강릉대로 501-5 2층 (포남동),033-641-9047
에쉐르재가복지센터,visit_recuperation,강원도 강릉시 강릉대로204번길 6 2층 (임당동),033-655-8254
고은맘방문요양센터,visit_recuperation,강원도 강릉시 강릉대로228번길7-1 (옥천동),033-641-2487
강릉노인돌봄,visit_recuperation,강원도 강릉시 강릉대로419번길 22 (포남동),033-647-4141
행복마을,visit_recuperation,강원도 강릉시 강변로 278 (노암동),033-645-3004
한마음방문요양센터,visit_recuperation,강원도 강릉시 강변로 308 (노암동),033-643-2003
효드림재가복지센터,visit_recuperation,강원도 강릉시 강변로126번길 6 (내곡동),033-646-0170
희망재가요양센터,visit_recuperation,강원도 강릉시 강중길 30 (입암동),033-648-1002
서연재가요양센터,visit_recuperation,강원도 강릉시 강중길 6 (입암동),033-645-9003
정순화재가복지센터,visit_recuperation,강원도 강릉시 경강로 2209 (포남동),033-642-2003
혜성재가복지센터,visit_recuperation,강원도 강릉시 경강로 2238-1 2층 (포남동),033-653-3931
소망재가복지센터,visit_recuperation,강원도 강릉시 경강로 2274 (포남동),033-643-0691
민들레재가복지센터,visit_recuperation,강원도 강릉시 경강로2224번길 11 1층101호 (포남동),033-643-5024
강릉자비노인복지센터,visit_recuperation,강원도 강릉시 경강로2267번길 19 (포남동),033-655-8785
이레재가복지센터,visit_recuperation,강원도 강릉시 공제로359번길 23 (홍제동),033-645-1989
사랑천사재가장기요양기관,visit_recuperation,강원도 강릉시 남강초교길 2길 25 (포남동),033-648-3119
행복나눔협동조합,visit_recuperation,강원도 강릉시 남구길17번길 25 (포남동),033-648-8988
착한사랑재가복지센터,visit_recuperation,강원도 강릉시 남산초교길 112 (내곡동),033-641-8882
다온재가복지센터,visit_recuperation,강원도 강릉시 남산초교길11번길 9 (내곡동),033-642-0441
하슬라재가방문요양센터,visit_recuperation,"강원도 강릉시 노가니길9, 2층 (노암동)",033-642-9713
갈바리노인복지센터1,visit_recuperation,강원도 강릉시 사임당로107번길 86 (홍제동),033-644-3477
늘좋은방문요양재가센터,visit_recuperation,강원도 강릉시 사천면 본동길 6,033-646-9995
해람재가방문요양센터,visit_recuperation,강원도 강릉시 산양길 3 (포남동),033-653-3412
예담노인복지센터,visit_recuperation,강원도 강릉시 성덕로216번길 14 (두산동),033-647-6067
효자손재가복지센터,visit_recuperation,강원도 강릉시 성덕포남로153번길32 (포남동),033-646-7300
강릉재가노인종합지원센터,visit_recuperation,강원도 강릉시 성덕포남로162번길 6 (포남동),033-642-8898
선한재가복지센터,visit_recuperation,강원도 강릉시 성산면 금산안길 100-6 (성산면),033-655-0655
허브재가복지센터,visit_recuperation,강원도 강릉시 수문길19번옆길 11 (옥천동),033-645-9294
누리재가복지센터,visit_recuperation,강원도 강릉시 연곡면 진고개로 2726-12,033-662-2171
서로사랑재가장기요양기관,visit_recuperation,강원도 강릉시 연주로 577 (주문진읍),033-662-2121
